case_study,dmn_file,decision_name,io,variable_name,feel_type,predicted_table,predicted_column,confidence,predicted_mapping_type,top3_candidates,notes
Spree,Volume_and_Tiered_Pricing.dmn,Promotion Tiered Percent Discount Selection,output,discountPercent,number,,,,"not-persisted (output/control-flow, default)",spree_carts.discount_total (0.46); spree_delivery_methods.markup_percent (0.43); spree_delivery_method_services.markup_percent (0.43),auto-generated
Spree,Volume_and_Tiered_Pricing.dmn,Price List Volume Adjustment Tier Selection,input,purchaseQuantity,number,spree_line_items,quantity,0.575,"direct (auto, confident)",spree_line_items.quantity (0.57); spree_promotion_action_line_items.quantity (0.57); spree_stock_movements.quantity (0.57),auto-generated
Spree,Volume_and_Tiered_Pricing.dmn,Price List Volume Adjustment Tier Selection,output,adjustmentPercentage,number,,,,"not-persisted (output/control-flow, default)",spree_price_lists.price_adjustment_percentage (0.80); spree_price_adjustment_tiers.percentage (0.62); spree_line_items.adjustment_total (0.48),auto-generated
Spree,Volume_and_Tiered_Pricing.dmn,Price Adjustment Tier Validity Violations,input,minQuantity,number,spree_price_adjustment_tiers,min_quantity,1.0,"direct (auto, confident)",spree_price_adjustment_tiers.min_quantity (1.00); spree_prices.min_quantity (0.98); spree_line_items.quantity (0.65),auto-generated
Spree,Volume_and_Tiered_Pricing.dmn,Price Adjustment Tier Validity Violations,input,percentage,number,spree_price_adjustment_tiers,percentage,1.0,"derived (auto, needs formula review)",spree_price_adjustment_tiers.percentage (1.00); spree_price_lists.price_adjustment_percentage (0.48); spree_delivery_methods.markup_percent (0.26),auto-generated
Spree,Volume_and_Tiered_Pricing.dmn,Price Adjustment Tier Validity Violations,input,siblingTierCount,number,,,0.414,"likely derived (auto, low confidence -- needs review)",spree_orders.item_count (0.41); spree_variants.image_count (0.40); spree_users.sign_in_count (0.39),"auto-generated, unreviewed"
Spree,Volume_and_Tiered_Pricing.dmn,Price Adjustment Tier Validity Violations,output,invalidReason,string,,,,"not-persisted (output/control-flow, default)",spree_stock_movements.reason (0.56); spree_order_cancellations.reason (0.56); spree_webhook_endpoints.disabled_reason (0.50),auto-generated
Spree,Volume_and_Tiered_Pricing.dmn,Price Adjustment Tier Validity,input,invalidReasons,,,,0.264,needs review (no confident match),spree_webhook_endpoints.disabled_reason (0.26); spree_stock_movements.reason (0.23); spree_order_cancellations.reason (0.23),"auto-generated, unreviewed"
jBilling,Ageing_and_Dunning.dmn,Is Ageing Required,input,expiryDate,date,paper_invoice_batch,delivery_date,0.496,"direct (auto, confident)",paper_invoice_batch.delivery_date (0.50); credit_card.cc_expiry (0.47); partner_payout.ending_date (0.44),auto-generated
jBilling,Ageing_and_Dunning.dmn,Is Ageing Required,output,ageingRequired,boolean,,,,"not-persisted (output/control-flow, default)",item_type.internal (0.12); order_line.use_item (0.12); ageing_entity_step.entity_id (0.10),auto-generated
jBilling,Ageing_and_Dunning.dmn,Invoice Overdue Check,input,dueDatePlusGrace,date,invoice,due_date,0.588,"direct (auto, confident)",invoice.due_date (0.59); paper_invoice_batch.delivery_date (0.35); filter.end_date_value (0.33),auto-generated
jBilling,Ageing_and_Dunning.dmn,Invoice Overdue Check,output,invoiceOverdue,boolean,,,,"not-persisted (output/control-flow, default)",invoice_line.invoice_id (0.22); payment_invoice.invoice_id (0.22); invoice.overdue_step (0.20),auto-generated
jBilling,Ageing_and_Dunning.dmn,Ageing Step Advancement,input,currentStatusIsActive,boolean,,,0.167,needs review (no confident match),purchase_order.is_current (0.17); ageing_entity_step.status_id (0.16); order_line.use_item (0.16),"auto-generated, unreviewed"
jBilling,Ageing_and_Dunning.dmn,Ageing Step Advancement,input,ageingStepConfigFound,boolean,,,0.155,needs review (no confident match),item_type.internal (0.16); order_line.use_item (0.12); mediation_errors.should_retry (0.11),"auto-generated, unreviewed"
jBilling,Ageing_and_Dunning.dmn,Ageing Step Advancement,input,ageingRequired,boolean,,,0.123,needs review (no confident match),item_type.internal (0.12); order_line.use_item (0.12); ageing_entity_step.entity_id (0.10),"auto-generated, unreviewed"
jBilling,Ageing_and_Dunning.dmn,Ageing Step Advancement,output,advanceToNextStep,boolean,,,,"not-persisted (output/control-flow, default)",filter.boolean_value (0.12); purchase_order.notification_step (0.11); item_type.internal (0.11),auto-generated
jBilling,Ageing_and_Dunning.dmn,Ageing Step Advancement,output,advancementReason,string,,,,"not-persisted (output/control-flow, default)",ageing_entity_step.entity_id (0.09); ageing_entity_step.days (0.08); breadcrumb.version (0.08),auto-generated
jBilling,Ageing_and_Dunning.dmn,Ageing Status Change Order Action,input,newStatusIsDeleted,boolean,,,0.223,needs review (no confident match),order_line.use_item (0.22); order_line.deleted (0.19); purchase_order.deleted (0.19),"auto-generated, unreviewed"
jBilling,Ageing_and_Dunning.dmn,Ageing Status Change Order Action,input,oldStatusCanLogin,boolean,,,0.243,needs review (no confident match),generic_status.can_login (0.24); generic_status.status_value (0.18); ageing_entity_step.status_id (0.17),"auto-generated, unreviewed"
jBilling,Ageing_and_Dunning.dmn,Ageing Status Change Order Action,input,newStatusCanLogin,boolean,,,0.243,needs review (no confident match),generic_status.can_login (0.24); generic_status.status_value (0.18); ageing_entity_step.status_id (0.17),"auto-generated, unreviewed"
jBilling,Ageing_and_Dunning.dmn,Ageing Status Change Order Action,output,orderAction,string,,,,"not-persisted (output/control-flow, default)",mediation_order_map.order_id (0.21); order_line.order_id (0.21); order_process.order_id (0.21),auto-generated
jBilling,Ageing_and_Dunning.dmn,Ageing Step Config Validation,input,statusIsActive,boolean,,,0.205,needs review (no confident match),order_line.use_item (0.20); ageing_entity_step.status_id (0.19); process_run_user.status (0.16),"auto-generated, unreviewed"
jBilling,Ageing_and_Dunning.dmn,Ageing Step Config Validation,input,statusIsDeleted,boolean,,,0.203,needs review (no confident match),ageing_entity_step.status_id (0.20); order_line.use_item (0.20); mediation_errors.should_retry (0.17),"auto-generated, unreviewed"
jBilling,Ageing_and_Dunning.dmn,Ageing Step Config Validation,input,isLastSelectedStep,boolean,,,0.144,needs review (no confident match),filter.visible (0.14); order_line.use_item (0.14); purchase_order.last_notified (0.11),"auto-generated, unreviewed"
jBilling,Ageing_and_Dunning.dmn,Ageing Step Config Validation,input,inUse,boolean,,,0.391,needs review (no confident match),order_line.use_item (0.39); filter.visible (0.23); item_type.internal (0.21),"auto-generated, unreviewed"
jBilling,Ageing_and_Dunning.dmn,Ageing Step Config Validation,input,welcomeMessagePresent,boolean,,,0.119,needs review (no confident match),notification_message_line.message_section_id (0.12); event_log.message_id (0.12); notification_message_section.message_id (0.12),"auto-generated, unreviewed"
jBilling,Ageing_and_Dunning.dmn,Ageing Step Config Validation,input,days,number,ageing_entity_step,days,1.0,"direct (auto, confident)",ageing_entity_step.days (1.00); billing_process_configuration.days_for_retry (0.38); billing_process_configuration.days_for_report (0.37),auto-generated
jBilling,Ageing_and_Dunning.dmn,Ageing Step Config Validation,output,validationResult,string,,,,"not-persisted (output/control-flow, default)",payment.result_id (0.14); ageing_entity_step.days (0.10); ageing_entity_step.status_id (0.09),auto-generated
jBilling,Currency_Exchange_Rules.dmn,Currency Exchange Rate Source,input,hasEntitySpecificExchange,boolean,,,0.153,needs review (no confident match),currency_entity_map.entity_id (0.15); currency_exchange.entity_id (0.15); order_line.use_item (0.14),"auto-generated, unreviewed"
jBilling,Currency_Exchange_Rules.dmn,Currency Exchange Rate Source,input,hasSystemDefaultExchange,boolean,,,0.115,needs review (no confident match),currency_exchange.create_datetime (0.11); item_type.internal (0.11); order_line.use_item (0.11),"auto-generated, unreviewed"
jBilling,Currency_Exchange_Rules.dmn,Currency Exchange Rate Source,output,exchangeRateSource,string,,,,"not-persisted (output/control-flow, default)",blacklist.source (0.14); currency_exchange.create_datetime (0.10); invoice_line.source_user_id (0.10),auto-generated
jBilling,Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,input,eventType,string,,,0.243,needs review (no confident match),blacklist.type (0.24); order_line.type_id (0.24); purchase_order.billing_type_id (0.21),"auto-generated, unreviewed"
jBilling,Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,input,newActiveUntilProvided,boolean,,,0.248,needs review (no confident match),purchase_order.active_until (0.25); purchase_order.active_since (0.16); order_line.use_item (0.14),"auto-generated, unreviewed"
jBilling,Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,input,oldActiveUntilProvided,boolean,,,0.248,needs review (no confident match),purchase_order.active_until (0.25); purchase_order.active_since (0.16); mediation_errors.should_retry (0.13),"auto-generated, unreviewed"
jBilling,Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,input,newActiveUntil,date,purchase_order,active_until,0.797,"direct (auto, confident)",purchase_order.active_until (0.80); purchase_order.active_since (0.43); promotion.until (0.42),auto-generated
jBilling,Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,input,oldActiveUntil,date,purchase_order,active_until,0.797,"direct (auto, confident)",purchase_order.active_until (0.80); purchase_order.active_since (0.43); promotion.until (0.42),auto-generated
jBilling,Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,input,newQuantity,number,,,0.32,needs review (no confident match),order_period.entity_id (0.32); ageing_entity_step.entity_id (0.27); base_user.entity_id (0.27),"auto-generated, unreviewed"
jBilling,Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,input,oldQuantity,number,,,0.383,needs review (no confident match),event_log.old_num (0.38); order_period.entity_id (0.28); purchase_order.notify (0.26),"auto-generated, unreviewed"
jBilling,Order_Cancellation_and_Validity.dmn,Cancellation Fee Eligibility,output,processCancellationFee,boolean,,,,"not-persisted (output/control-flow, default)",order_process.billing_process_id (0.15); mediation_order_map.mediation_process_id (0.15); filter.boolean_value (0.13),auto-generated
jBilling,Order_Cancellation_and_Validity.dmn,Order Period Already Invoiced,input,candidateDateProvided,boolean,,,0.152,needs review (no confident match),purchase_order.due_date_value (0.15); purchase_order.due_date_unit_id (0.15); order_line.use_item (0.14),"auto-generated, unreviewed"
jBilling,Order_Cancellation_and_Validity.dmn,Order Period Already Invoiced,input,nextBillableDayProvided,boolean,,,0.312,needs review (no confident match),purchase_order.next_billable_day (0.31); filter.boolean_value (0.15); order_line.use_item (0.14),"auto-generated, unreviewed"
jBilling,Order_Cancellation_and_Validity.dmn,Order Period Already Invoiced,input,candidateDate,date,,,0.446,needs review (no confident match),partner_payout.ending_date (0.45); filter.end_date_value (0.40); payment.payment_date (0.40),"auto-generated, unreviewed"
jBilling,Order_Cancellation_and_Validity.dmn,Order Period Already Invoiced,input,nextBillableDay,date,purchase_order,next_billable_day,1.0,"direct (auto, confident)",purchase_order.next_billable_day (1.00); partner.next_payout_date (0.31); billing_process_configuration.next_run_date (0.30),auto-generated
jBilling,Order_Cancellation_and_Validity.dmn,Order Period Already Invoiced,output,periodAlreadyInvoiced,boolean,,,,"not-persisted (output/control-flow, default)",order_process.period_end (0.18); order_process.period_start (0.17); purchase_order.period_id (0.17),auto-generated
jBilling,Order_Cancellation_and_Validity.dmn,Order Date Range Valid,input,parseOrAccessError,boolean,,,0.154,needs review (no confident match),order_line.use_item (0.15); order_process.billing_process_id (0.11); mediation_order_map.mediation_process_id (0.11),"auto-generated, unreviewed"
jBilling,Order_Cancellation_and_Validity.dmn,Order Date Range Valid,input,startDateProvided,boolean,,,0.201,needs review (no confident match),filter.start_date_value (0.20); mediation_process.start_datetime (0.16); mediation_record.start_datetime (0.16),"auto-generated, unreviewed"
jBilling,Order_Cancellation_and_Validity.dmn,Order Date Range Valid,input,endDateProvided,boolean,,,0.194,needs review (no confident match),filter.end_date_value (0.19); order_line.use_item (0.17); purchase_order.due_date_value (0.16),"auto-generated, unreviewed"
jBilling,Order_Cancellation_and_Validity.dmn,Order Date Range Valid,input,startDate,date,filter,start_date_value,0.691,"direct (auto, confident)",filter.start_date_value (0.69); cdrentries.start (0.60); mediation_errors.start (0.60),auto-generated
jBilling,Order_Cancellation_and_Validity.dmn,Order Date Range Valid,input,endDate,date,filter,end_date_value,0.667,"direct (auto, confident)",filter.end_date_value (0.67); partner_payout.ending_date (0.53); mediation_process.end_datetime (0.51),auto-generated
jBilling,Order_Cancellation_and_Validity.dmn,Order Date Range Valid,output,dateRangeValid,boolean,,,,"not-persisted (output/control-flow, default)",item_type.internal (0.25); filter.boolean_value (0.20); partner_range.range_to (0.17),auto-generated
jBilling,Payment_Authorization_and_Blacklist.dmn,Payment Outcome Resolution,input,processorUnavailable,boolean,,,0.191,needs review (no confident match),filter.boolean_value (0.19); filter.visible (0.17); item_type.internal (0.13),"auto-generated, unreviewed"
jBilling,Payment_Authorization_and_Blacklist.dmn,Payment Outcome Resolution,input,paymentResultId,number,payment,payment_id,0.741,"direct (auto, confident)",payment.payment_id (0.74); payment_authorization.payment_id (0.74); payment_info_cheque.payment_id (0.74),auto-generated
jBilling,Payment_Authorization_and_Blacklist.dmn,Payment Outcome Resolution,output,resultCode,number,,,,"not-persisted (output/control-flow, default)",payment.result_id (0.56); contact.fax_area_code (0.37); contact.phone_area_code (0.35),auto-generated
jBilling,Payment_Authorization_and_Blacklist.dmn,Payment Balance Assignment,input,resultCode,number,payment,result_id,0.565,"direct (auto, confident)",payment.result_id (0.56); contact.fax_area_code (0.37); contact.phone_area_code (0.35),auto-generated
jBilling,Payment_Authorization_and_Blacklist.dmn,Payment Balance Assignment,input,paymentAmount,number,payment,payment_id,0.507,"direct (auto, confident)",payment.payment_id (0.51); payment_authorization.payment_id (0.51); payment_info_cheque.payment_id (0.51),auto-generated
jBilling,Payment_Authorization_and_Blacklist.dmn,Payment Balance Assignment,output,balance,number,,,,"not-persisted (output/control-flow, default)",customer.balance_type (0.61); promotion.once (0.25); order_period.value (0.23),auto-generated
jBilling,Payment_Authorization_and_Blacklist.dmn,Blacklist Filter Enabled,input,blacklistPluginId,number,,,0.36,needs review (no confident match),international_description.language_id (0.36); blacklist.id (0.36); filter.id (0.36),"auto-generated, unreviewed"
jBilling,Payment_Authorization_and_Blacklist.dmn,Blacklist Filter Enabled,output,blacklistEnabled,boolean,,,,"not-persisted (output/control-flow, default)",filter.visible (0.25); item_type.internal (0.23); filter.boolean_value (0.14),auto-generated
jBilling,Proration_and_Tax.dmn,Cycle Start Source,input,hasNextBillableDay,boolean,,,0.279,needs review (no confident match),purchase_order.next_billable_day (0.28); filter.visible (0.18); order_line.use_item (0.14),"auto-generated, unreviewed"
jBilling,Proration_and_Tax.dmn,Cycle Start Source,input,hasCycleStarts,boolean,,,0.174,needs review (no confident match),purchase_order.cycle_start (0.17); filter.visible (0.13); order_line.use_item (0.12),"auto-generated, unreviewed"
jBilling,Proration_and_Tax.dmn,Cycle Start Source,output,cycleStartDateSource,string,,,,"not-persisted (output/control-flow, default)",purchase_order.cycle_start (0.20); filter.start_date_value (0.17); mediation_process.start_datetime (0.13),auto-generated
jBilling,Proration_and_Tax.dmn,Daily Pro-Rate Amount,input,daysInCycle,number,,,0.423,needs review (no confident match),ageing_entity_step.days (0.42); billing_process_configuration.days_for_retry (0.29); billing_process_configuration.days_for_report (0.28),"auto-generated, unreviewed"
jBilling,Proration_and_Tax.dmn,Daily Pro-Rate Amount,input,daysInPeriod,number,,,0.449,needs review (no confident match),payment.payment_period (0.45); ageing_entity_step.days (0.41); purchase_order.period_id (0.39),"auto-generated, unreviewed"
jBilling,Proration_and_Tax.dmn,Daily Pro-Rate Amount,input,fullPrice,number,,,0.42,needs review (no confident match),order_line.item_price (0.42); item.price_manual (0.40); blacklist.source (0.24),"auto-generated, unreviewed"
jBilling,Proration_and_Tax.dmn,Daily Pro-Rate Amount,output,proratedAmount,number,,,,"not-persisted (output/control-flow, default)",billing_process.period_unit_id (0.23); billing_process_configuration.period_unit_id (0.23); partner.period_unit_id (0.23),auto-generated
jBilling,Proration_and_Tax.dmn,Tax Calculation Needed,input,customContactFieldConfigured,boolean,,,0.113,needs review (no confident match),blacklist.contact_id (0.11); contact_field.contact_id (0.11); contact_map.contact_id (0.11),"auto-generated, unreviewed"
jBilling,Proration_and_Tax.dmn,Tax Calculation Needed,input,primaryContactFound,boolean,,,0.135,needs review (no confident match),blacklist.contact_id (0.14); contact_field.contact_id (0.14); contact_map.contact_id (0.14),"auto-generated, unreviewed"
jBilling,Proration_and_Tax.dmn,Tax Calculation Needed,input,matchingFieldValue,string,,,0.172,needs review (no confident match),generic_status.status_value (0.17); filter.integer_value (0.14); order_period.value (0.13),"auto-generated, unreviewed"
jBilling,Proration_and_Tax.dmn,Tax Calculation Needed,output,taxCalculationNeeded,boolean,,,,"not-persisted (output/control-flow, default)",filter.boolean_value (0.14); item_type.internal (0.10); mediation_errors.should_retry (0.08),auto-generated
jBilling,Proration_and_Tax.dmn,Tax Calculation Mode,input,taxItemHasPercentage,boolean,,,0.239,"likely derived (auto, low confidence -- needs review)",order_line.use_item (0.24); invoice_line.is_percentage (0.15); item_type.internal (0.13),"auto-generated, unreviewed"
jBilling,Proration_and_Tax.dmn,Tax Calculation Mode,output,taxCalculationMode,string,,,,"not-persisted (output/control-flow, default)",contact.notification_include (0.07); mediation_process.configuration_id (0.07); cdrentries.duration (0.07),auto-generated
